
:CDEC data from SACRAMENTO RIVER ABOVE CLEAR CK
:TEMPERATURE, WATER deg f
:Station ID CCR, sensor number 25, duration H
:Specified start date '05/01/2017 00:00' and ending date '05/30/2017 00:00'
:Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements.
:
:  sta yyyymmdd PS DHhhmm /code value
.A CCR 20170514 PS DH0600 /TWH 51.0 
.A CCR 20170514 PS DH0700 /TWH 51.0 
.A CCR 20170514 PS DH0800 /TWH 51.1 
.A CCR 20170514 PS DH0900 /TWH 51.4 
.A CCR 20170514 PS DH1000 /TWH 51.8 
.A CCR 20170514 PS DH1100 /TWH 52.1 
.A CCR 20170514 PS DH1200 /TWH 52.7 
.A CCR 20170514 PS DH1300 /TWH 53.1 
.A CCR 20170514 PS DH1400 /TWH 53.4 
.A CCR 20170514 PS DH1500 /TWH 53.5 
.A CCR 20170514 PS DH1600 /TWH 53.5 
.A CCR 20170514 PS DH1700 /TWH 53.4 
.A CCR 20170514 PS DH1800 /TWH 53.1 
.A CCR 20170514 PS DH1900 /TWH 52.7 
.A CCR 20170514 PS DH2000 /TWH 52.4 
.A CCR 20170514 PS DH2100 /TWH 52.2 
.A CCR 20170514 PS DH2200 /TWH 52.1 
.A CCR 20170514 PS DH2300 /TWH 52.0 
.A CCR 20170515 PS DH0000 /TWH 52.0 
.A CCR 20170515 PS DH0100 /TWH 51.9 
.A CCR 20170515 PS DH0200 /TWH 51.9 
.A CCR 20170515 PS DH0300 /TWH 51.9 
.A CCR 20170515 PS DH0400 /TWH 52.0 
.A CCR 20170515 PS DH0500 /TWH 52.1 
.A CCR 20170515 PS DH0600 /TWH 52.2 
.A CCR 20170515 PS DH0700 /TWH 52.3 
.A CCR 20170515 PS DH0800 /TWH 52.5 
.A CCR 20170515 PS DH0900 /TWH 52.9 
.A CCR 20170515 PS DH1000 /TWH 53.3 
.A CCR 20170515 PS DH1100 /TWH 53.6 
.A CCR 20170515 PS DH1200 /TWH 53.8 
.A CCR 20170515 PS DH1300 /TWH 54.0 
.A CCR 20170515 PS DH1400 /TWH 54.1 
.A CCR 20170515 PS DH1500 /TWH 54.1 
.A CCR 20170515 PS DH1600 /TWH 54.0 
.A CCR 20170515 PS DH1700 /TWH 53.7 
.A CCR 20170515 PS DH1800 /TWH 53.4 
.A CCR 20170515 PS DH1900 /TWH 52.9 
.A CCR 20170515 PS DH2000 /TWH 52.7 
.A CCR 20170515 PS DH2100 /TWH 52.5 
.A CCR 20170515 PS DH2200 /TWH 52.4 
.A CCR 20170515 PS DH2300 /TWH 52.3 
.A CCR 20170516 PS DH0000 /TWH 52.3 
.A CCR 20170516 PS DH0100 /TWH 52.3 
.A CCR 20170516 PS DH0200 /TWH 52.3 
.A CCR 20170516 PS DH0300 /TWH 52.2 
.A CCR 20170516 PS DH0400 /TWH 52.2 
.A CCR 20170516 PS DH0500 /TWH 52.3 
.A CCR 20170516 PS DH0600 /TWH 52.4 
.A CCR 20170516 PS DH0700 /TWH 52.5 
.A CCR 20170516 PS DH0800 /TWH 52.6 
.A CCR 20170516 PS DH0900 /TWH 52.7 
.A CCR 20170516 PS DH1000 /TWH 52.7 
.A CCR 20170516 PS DH1100 /TWH 52.6 
.A CCR 20170516 PS DH1200 /TWH 52.4 
.A CCR 20170516 PS DH1300 /TWH 52.2 
.A CCR 20170516 PS DH1400 /TWH 51.9 
.A CCR 20170516 PS DH1500 /TWH 51.7 
.A CCR 20170516 PS DH1600 /TWH 51.7 
.A CCR 20170516 PS DH1700 /TWH 51.7 
.A CCR 20170516 PS DH1800 /TWH 51.8 
.A CCR 20170516 PS DH1900 /TWH 51.9 
.A CCR 20170516 PS DH2000 /TWH 51.8 
.A CCR 20170516 PS DH2100 /TWH 51.7 
.A CCR 20170516 PS DH2200 /TWH 51.6 
.A CCR 20170516 PS DH2300 /TWH 51.5 
.A CCR 20170517 PS DH0000 /TWH 51.4 
.A CCR 20170517 PS DH0100 /TWH 51.3 
.A CCR 20170517 PS DH0200 /TWH 51.1 
.A CCR 20170517 PS DH0300 /TWH 50.9 
.A CCR 20170517 PS DH0400 /TWH 50.7 
.A CCR 20170517 PS DH0500 /TWH 50.6 
.A CCR 20170517 PS DH0600 /TWH 50.5 
.A CCR 20170517 PS DH0700 /TWH 50.5 
.A CCR 20170517 PS DH0800 /TWH 50.7 
.A CCR 20170517 PS DH0900 /TWH 51.0 
.A CCR 20170517 PS DH1000 /TWH 51.5 
.A CCR 20170517 PS DH1100 /TWH 51.9 
.A CCR 20170517 PS DH1200 /TWH 52.4 
.A CCR 20170517 PS DH1300 /TWH 52.7 
.A CCR 20170517 PS DH1400 /TWH 53.0 
.A CCR 20170517 PS DH1500 /TWH 53.0 
.A CCR 20170517 PS DH1600 /TWH 53.0 
.A CCR 20170517 PS DH1700 /TWH 52.8 
.A CCR 20170517 PS DH1800 /TWH 52.4 
.A CCR 20170517 PS DH1900 /TWH 52.1 
.A CCR 20170517 PS DH2000 /TWH 51.7 
.A CCR 20170517 PS DH2100 /TWH 51.5 
.A CCR 20170517 PS DH2200 /TWH 51.4 
.A CCR 20170517 PS DH2300 /TWH 51.3 
.A CCR 20170518 PS DH0000 /TWH 51.3 
.A CCR 20170518 PS DH0100 /TWH 51.2 
.A CCR 20170518 PS DH0200 /TWH 51.2 
.A CCR 20170518 PS DH0300 /TWH 51.2 
.A CCR 20170518 PS DH0400 /TWH 51.2 
.A CCR 20170518 PS DH0500 /TWH 51.2 
.A CCR 20170518 PS DH0600 /TWH 51.2 
.A CCR 20170518 PS DH0700 /TWH 51.4 
.A CCR 20170518 PS DH0800 /TWH 51.6 
.A CCR 20170518 PS DH0900 /TWH 52.0 
.A CCR 20170518 PS DH1000 /TWH 52.5 
.A CCR 20170518 PS DH1100 /TWH 53.0 
.A CCR 20170518 PS DH1200 /TWH 53.4 
.A CCR 20170518 PS DH1300 /TWH 53.7 
.A CCR 20170518 PS DH1400 /TWH 53.9 
.A CCR 20170518 PS DH1500 /TWH 53.8 
.A CCR 20170518 PS DH1600 /TWH 53.8 
.A CCR 20170518 PS DH1700 /TWH 53.6 
.A CCR 20170518 PS DH1800 /TWH 53.4 
.A CCR 20170518 PS DH1900 /TWH 53.1 
.A CCR 20170518 PS DH2000 /TWH 52.8 
.A CCR 20170518 PS DH2100 /TWH 52.6 
.A CCR 20170518 PS DH2200 /TWH 52.3 
.A CCR 20170518 PS DH2300 /TWH 52.2 
.A CCR 20170519 PS DH0000 /TWH 52.0 
.A CCR 20170519 PS DH0100 /TWH 51.8 
.A CCR 20170519 PS DH0200 /TWH 51.6 
.A CCR 20170519 PS DH0300 /TWH 51.4 
.A CCR 20170519 PS DH0400 /TWH 51.4 
.A CCR 20170519 PS DH0500 /TWH 51.4 
.A CCR 20170519 PS DH0600 /TWH 51.4 
.A CCR 20170519 PS DH0700 /TWH 51.6 
.A CCR 20170519 PS DH0800 /TWH 51.8 
.A CCR 20170519 PS DH0900 /TWH 52.2 
.A CCR 20170519 PS DH1000 /TWH 52.6 
.A CCR 20170519 PS DH1100 /TWH 53.1 
.A CCR 20170519 PS DH1200 /TWH 53.5 
.A CCR 20170519 PS DH1300 /TWH 53.7 
.A CCR 20170519 PS DH1400 /TWH 53.8 
.A CCR 20170519 PS DH1500 /TWH 53.8 
.A CCR 20170519 PS DH1600 /TWH 53.6 
.A CCR 20170519 PS DH1700 /TWH 53.4 
.A CCR 20170519 PS DH1800 /TWH 52.9 
.A CCR 20170519 PS DH1900 /TWH 52.5 
.A CCR 20170519 PS DH2000 /TWH 52.2 
.A CCR 20170519 PS DH2100 /TWH 51.8 
.A CCR 20170519 PS DH2200 /TWH 51.6 
.A CCR 20170519 PS DH2300 /TWH 51.5 
.A CCR 20170520 PS DH0000 /TWH 51.4 
.A CCR 20170520 PS DH0100 /TWH 51.3 
.A CCR 20170520 PS DH0200 /TWH 51.1 
.A CCR 20170520 PS DH0300 /TWH 50.9 
.A CCR 20170520 PS DH0400 /TWH 50.8 
.A CCR 20170520 PS DH0500 /TWH 50.7 
.A CCR 20170520 PS DH0600 /TWH 50.6 
.A CCR 20170520 PS DH0700 /TWH 50.7 
.A CCR 20170520 PS DH0800 /TWH 50.9 
.A CCR 20170520 PS DH0900 /TWH 51.3 
.A CCR 20170520 PS DH1000 /TWH 51.9 
.A CCR 20170520 PS DH1100 /TWH 52.5 
.A CCR 20170520 PS DH1200 /TWH 53.0 
.A CCR 20170520 PS DH1300 /TWH 53.4 
.A CCR 20170520 PS DH1400 /TWH 53.5 
.A CCR 20170520 PS DH1500 /TWH 53.5 
.A CCR 20170520 PS DH1600 /TWH 53.4 
.A CCR 20170520 PS DH1700 /TWH 53.1 
.A CCR 20170520 PS DH1800 /TWH 52.6 
.A CCR 20170520 PS DH1900 /TWH 52.2 
.A CCR 20170520 PS DH2000 /TWH 51.7 
.A CCR 20170520 PS DH2100 /TWH 51.4 
.A CCR 20170520 PS DH2200 /TWH 51.2 
.A CCR 20170520 PS DH2300 /TWH 51.1 
.A CCR 20170521 PS DH0000 /TWH 51.0 
.A CCR 20170521 PS DH0100 /TWH 50.8 
.A CCR 20170521 PS DH0200 /TWH 50.7 
.A CCR 20170521 PS DH0300 /TWH 50.5 
.A CCR 20170521 PS DH0400 /TWH 50.4 
.A CCR 20170521 PS DH0500 /TWH 50.3 
.A CCR 20170521 PS DH0600 /TWH 50.3 
.A CCR 20170521 PS DH0700 /TWH 50.4 
.A CCR 20170521 PS DH0800 /TWH 50.7 
.A CCR 20170521 PS DH0900 /TWH 51.2 
.A CCR 20170521 PS DH1000 /TWH 51.7 
.A CCR 20170521 PS DH1100 /TWH 52.3 
.A CCR 20170521 PS DH1200 /TWH 52.7 
